,name,code,sector,main_product
0,3R,037730,,DVR(디지털영상저장장치)
1,3노드디지탈,900010,회사 본부 및 경영 컨설팅 서비스업,지주회사
2,KTB드림1,042300,,유가증권등의매매등을통한자산의투자·운용업무
3,KTB자산배분2,038380,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무"
4,SK1호스팩,207930,금융 지원 서비스업,기업인수합병
5,SK컴즈,066270,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","싸이월드, 네이트온, 네이트"
6,경북금고,008050,,대출이자
7,경윤하이드로,019120,일반 목적용 기계 제조업,GRAIN
8,골든브릿지제2호스팩,206660,금융 지원 서비스업,기업인수합병
9,교보성공파트너일호펀,034650,,유가증권등의매매등을통한자산의투자·운용업무
10,교보성공파트너크린앤,035980,,유가증권등의 매매등을 통한 자산의 투자·운용업무
11,국제종합토건,024860,,
12,굿라이프10-MF,037510,신탁업 및 집합투자업,"유가증권등의 매매등을 통한 자산의 투자, 운용업무"
13,글로웍스,034600,부동산 임대 및 공급업,"LIPS,CTI,VMS"
14,네이쳐글로벌,088020,반도체 제조업,영상/음성압축복원칩
15,넷컴스토리지,037010,,"QuRAID(저장기기제조,판매)"
16,뉴젠아이씨티,054150,기계장비 및 관련 물품 도매업,"컴퓨터유통 및 도매, 출입통제 및 인증관리 시스템"
17,뉴켐진스템셀,036280,종합 소매업,업농약살포차
18,다임알짜2호-MF,051960,,유가증권등의 매매등을 통한 자산의 투자·운용업무
19,단암산업,005650,,
20,대백쇼핑,027700,,"의류, 식품, 패션잡화, 가정용품"
21,대신증권그로쓰스팩,123550,금융 지원 서비스업,합병(유일한 사업목적)
22,데코,013650,봉제의복 제조업,의류
23,동방티엔씨,018860,,
24,동아일렉콤,011860,,
25,동원뮤추얼장보고1호,034470,,유가증권등의매매등을통한자산의투자·운용업무
26,마이다스코코,040860,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무"
27,맥시스템,036880,,모뎀(MODEM)
28,모빌탑,085680,소프트웨어 개발 및 공급업,모바일솔루션및컨텐츠
29,무한투자,034510,신탁업 및 집합투자업,벤처캐피탈
30,미래아이티2,040260,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무"
31,미래에셋알바트로스이,035320,,유가증권등의매매등을통한자산의투자·운용업무
32,미래에셋크린채권형이,036310,,"유가증권의 매매등을 통한 자산의 투자, 운용업무"
33,미래주식1,047890,,"유가증권의 매매등을 통한 자산의 투자, 운용업무"
34,미래하이2호,039210,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무"
35,미래하이4,040950,,유가증권등의 매매등을 통한 자산의 투자·운용업무
36,미래한아름2,046820,,"유가증권의 매매등을 통한 자산의 투자, 운용업무"
37,미주실업,015060,,분양공사
38,박현주1호,034160,,
39,박현주3성장,037770,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무"
40,박현주7성장,038940,,"유가증권등의 매매등을 통한 자산의 투자, 운용업무"
41,베스트플로우,060410,기타 사업지원 서비스업,"침입탐지시스템, 보안취약점분석, 헬프데스크"
42,부산방직,025270,방적 및 가공사 제조업,방모복지
43,비엔디,047940,동물용 사료 및 조제식품 제조업,"섬유질가공사료, 사료첨가제"
44,비엔씨컴퍼니,058370,기타 전문 도매업,비철 스크랩 재생 및 유통
45,사라콤,040020,통신 및 방송 장비 제조업,GMDSS(전세계 해상조난구조 시스템) 장비
46,사이노젠,064060,일반 목적용 기계 제조업,대기용필터
47,삼능건설,002830,,
48,삼성라이프에머랄드일,034320,,
49,삼성프라임증권투자회,034270,,유가증권등의매매등을통한자산의투자·운용업무
50,성보섬유,008430,,
51,세븐코스프,017160,동물용 사료 및 조제식품 제조업,사료
52,세원,013730,,
53,세이플러스,049990,,유가증권등의 매매등을 통한 자산의 투자·운용업무
54,스틸플라워,087220,1차 철강 제조업,후육강관
55,승화프리텍,111610,기반조성 및 시설물 축조관련 전문공사업,"LMC교면포장공법, HEAT가설교량공법"
56,신텍,099660,"구조용 금속제품, 탱크 및 증기발생기 제조업",산업용 보일러
57,신호테크,018910,,
