,_date,code_011420,code_012320,code_010130,code_017040,code_001140,code_014530,code_013700,code_003920,code_005750,code_014160,code_005880,code_000640,code_001520,code_000020,code_000150,code_013570,code_027740,code_138040,code_204210,code_001270,code_006400,code_207940,code_068290,code_000810,code_005680,code_003720,code_001290,code_007610,code_136490,code_004490,code_293940,code_055550,code_011090,code_012750,code_005820,code_008600,code_025820,code_129260,code_249420,code_271980,code_001560,code_002620,code_089590,code_002600,code_071320,code_010580,code_088790,code_010640,code_109070,code_120110
0,2020.03.30,990,20900,360500,1275,1485,2390,900,286500,2525,810,12200,77500,941,6130,36250,2880,620,8660,2740,14700,239000,437000,16800,147000,6600,875,1025,1900,5490,24800,6790,27100,649,80200,13600,913,971,1035,11100,20600,5030,8840,16550,120500,30050,0,2110,2340,4100,24500
1,2020.03.27,1035,21000,378000,1400,1350,2365,950,289500,2560,857,13000,77700,969,6300,41000,2995,670,8500,2755,16650,258500,467000,17100,151000,6700,845,1080,2050,5950,25400,6580,29300,681,83000,13900,950,983,1050,11000,21050,4870,9370,18100,120500,30600,256,2170,2420,3550,25900
2,2020.03.26,1020,21300,358500,1280,929,2350,865,282000,2375,807,12600,73500,901,5720,36000,2755,623,8000,2610,14950,258500,469500,16350,150500,6500,826,997,1895,5340,24850,6380,27350,630,80400,13200,790,931,973,10400,19700,4900,9100,15500,122500,30000,232,2140,2335,4550,24650
3,2020.03.25,880,19600,360000,1220,914,2200,840,266500,2260,785,12100,71800,841,5510,34800,2695,613,7720,2615,14750,267000,492500,16000,149000,6340,789,947,1730,5370,24500,6290,26300,623,74500,13750,730,840,919,10550,20100,4780,8900,13250,113500,27400,231,2030,2050,4535,23500
4,2020.03.24,744,18950,306000,1110,830,2080,745,254500,2075,732,11000,68100,774,5170,27950,2380,562,6640,2610,13650,231500,452500,14050,134500,6000,760,904,1590,5050,23050,6000,22600,571,74000,12300,680,781,920,9570,18500,4490,8340,12400,112000,25800,233,2000,1960,5890,21600
5,2020.03.23,815,17300,284000,1075,980,2125,740,263000,2100,680,11550,67500,759,4900,27500,2605,533,6060,2670,14500,202000,406000,12100,120000,5910,780,885,1540,5260,23500,6030,22400,555,81700,13600,670,755,885,9400,16750,4210,8210,11450,114000,27500,239,2285,1910,8150,21250
6,2020.03.20,751,18050,297500,1130,675,2170,730,276500,2145,690,10900,70700,757,5010,26800,2705,521,6010,2540,14600,197000,383500,10350,129000,5880,849,891,1580,5350,22300,6250,22900,549,85400,12950,631,752,880,9380,15800,4310,7970,12000,116000,26550,271,2100,2020,9000,21050
7,2020.03.19,990,21600,317000,1510,920,2555,974,310500,2450,814,13000,73100,903,5630,32600,3230,662,7380,2650,15700,227000,410000,13500,139000,6320,898,985,1850,6230,25750,6690,24300,669,84900,13600,894,998,1105,10100,18500,5130,9310,16900,123500,30500,350,2200,2450,9530,24550
8,2020.03.18,1055,23750,348500,1500,1025,2640,1030,322500,2525,875,13500,75000,978,5630,36050,3400,690,8120,2605,16450,246000,425500,14350,147000,6390,900,970,1915,6760,26150,6720,24900,695,84600,13450,986,1070,1150,10800,19600,4700,9800,19050,126000,30600,415,2375,2580,9150,25900
9,2020.03.17,1000,22100,349500,1360,1000,2400,965,339500,2230,767,10900,70100,901,5250,35350,3055,601,8400,2610,15250,242000,410000,12550,150500,6210,920,986,1750,6300,24400,6500,25000,636,86000,14350,900,1030,1085,10200,18500,4400,9210,18000,127000,30700,388,2160,2250,9000,23650
10,2020.03.16,1165,25500,377000,1565,1135,2670,1030,352500,2580,860,13000,76100,1045,5870,37150,3260,710,8990,2530,16250,280000,463000,15200,163000,6750,940,997,2035,7070,27900,6850,28200,736,84000,14250,1060,1100,1555,11200,20600,5010,10500,19300,129500,33000,416,2400,2700,11000,26500
