,name,code,sector,main_product
0,JS전선,005560,절연선 및 케이블 제조업,"선박선,고무선,전력선,통신선 제조"
1,거북선2호,101380,,운송장비(선박) 임대
2,거북선6호,114140,,
3,교보메리츠,064900,,"부동산 투자,운용"
4,국제관광공사,028780,,
5,굿리치경매1,085450,,부동산 임대 및 공급
6,그린손해보험,000470,보험업,"손해보험(자동차,화재,해상,특종,장기보험)"
7,극동건설,000980,,"건축공사,토목공사,아파트건설,도로포장공사,플랜트설치공사,전기공사,전기통신공사/기술용역/주택 판매,빌딩 임대"
8,금성산업,028930,,
9,금호케미칼,014740,,
10,기라정보통신,019930,,"영상음향,통신장비,인쇄회로기판(PCB,MLB) 제조/비거주용건물 임대"
11,나라종금,016390,재 보험업,
12,뉴맥스,014080,,
13,대덕GDS,004130,전자부품 제조업,"인쇄회로기판 제조,무역대리"
14,대한종금,009030,,
15,동국무역,004420,,"합섬직물,면직물,봉제품,방적업,합성수지 제조,도매,수출입"
16,동부일렉트로닉스,001830,,"반도체,배선기구,전자손목시계,개폐장치 제조"
17,동북아14호선박투자,083390,,운수장비 임대
18,동북아9호,083120,,운송장비 임대
19,동아콘크리트공업,029230,,
20,두산상사,000090,,
21,라이프주택,010530,,
22,마이다스성일,035590,재 보험업,
23,미성건설,028400,,
24,보람은행,008890,,
25,보루네오가구,004740,가구 제조업,"가정용가구,주방가구,사무용가구,제재목 제조,도소매,무역(원목,합판)"
26,삼보증권,029150,,
27,삼성신약,003400,,
28,삼양제넥스,003940,기타 식품 제조업,"전분,전분당,사료,바이오그린,과당,솔비틀,올리고당,분해성수지 제조,수입(결정과당,CPP)"
29,서울교통공사,000730,,
30,세원화성,007910,,"합성수지(불포화 폴리에스터수지),우레탄폼,농업용필름,스폰지 제조"
31,송원칼라,011450,,"염료,안료,유연제 제조"
32,스마텔,004190,,"볼륨,스위치,센서,전화기 제조"
33,신승기업,028980,,
34,신정제지,018690,,
35,신한은행,000010,보험업,"은행업(은행업무,외국환업무,신탁업무)"
36,신호전자,008190,,
37,신호페이퍼,012190,,
38,아시아7호,082260,,운송장비 임대
39,아시아퍼시픽11호,083580,,운송장비 임대
40,아시아퍼시픽12호,083590,,운송장비임대
41,아시아퍼시픽15호,083620,운송장비 임대업,선박 임대
42,알바트로스,034180,재 보험업,
43,알앤엘바이오,003190,기초 의약물질 및 생물학적 제제 제조업,무역(컴퓨터주변기기)
44,에스지신성건설,001970,토목 건설업,"국내 및 해외종합건설,조경공사/부동산 임대,전문기술용역/수질오염방지.폐기물처리시설 설계시공,오수.축산폐수처리 시설 설계시공"
45,에이치비이에너지,017300,영상 및 음향기기 제조업,"모니터,파워서플라이,팩시밀리,위성방송수신기,인터넷전용셋롭박스 제조,판매,수출"
46,엘아이지건설(주),012720,,"종합건설,주택,아파트 건설"
47,연합과기,900030,회사 본부 및 경영 컨설팅 서비스업,"PU피혁, 직조 및 염색"
48,영풍산업,002850,비알코올음료 및 얼음 제조업,"광업(연정광,아연정광,금정광)/건축공사,토목공사/주택 분양"
49,우성건설,008640,,
50,우진건설산업,029110,,
51,우진전기,012050,,
52,유리이에스,007050,특수 목적용 기계 제조업,"주조품(압연롤러),ROLL가공,중기부품가공,레미콘임대"
53,이지닷컴,012260,,
54,장기은행,005020,,
55,제일종금,012500,,
56,제일화재해상보험,000610,보험업,"화재보험,해상보험,자동차보험,장기저축성보험,각종손해보험 및 부대사업"
57,조선맥주,034380,,
58,중앙제지,005600,,"펄프,종이,종이제품(마니라판지,로루지) 제조,복사용지 도매"
59,중앙종금,008990,재 보험업,
60,지비베트남1,094950,신탁업 및 집합투자업,투자신탁
61,캠브리지코오롱,004620,봉제의복 제조업,"신사복(자켓,남성슈트,남성바지,남성레인코트,남성코트),캠브리지 제조,도매/부동산 임대"
62,케니상사,028560,,
63,코리아01호,090970,,운수장비(선박) 임대
64,태림페이퍼,019300,"펄프, 종이 및 판지 제조업",골판지 원지 및 판지제조
65,트러스제7호,140890,부동산 임대 및 공급업,
66,티엘씨레저,014590,유원지 및 기타 오락관련 서비스업,"피혁의류(쟈켓,스커트,바지),피혁원단 제조,무역"
67,팬택앤큐리텔,063350,,"이동통신단말기 제조,도소매"
68,평안섬유공업,028360,,"캐주얼웨어 제조,판매"
69,플래티넘1호,034580,재 보험업,
70,한국생사,028380,,
71,한국운수,028750,,
72,한국코아,010150,,"EI-CORE,STRIP,모터코아,PERMALLAY코아,규소강판코어,금형 제조,도매,무역"
73,한길종금,014430,,
74,한솔아트원제지,007190,"펄프, 종이 및 판지 제조업","아트지,백상지등 제조"
75,한솔종금,010220,,
76,한주전자,007000,,
77,한주화학,010970,,
78,한화기계,000930,,
79,한화화인케미칼,025850,기초 화학물질 제조업,"정밀화학제품(TDI(Toluene diisocyanate,폴리우레탄원료)와 TDI부산물(염산 등),MPP) 제조"
80,현대DSF,016510,종합 소매업,"백화점,통신판매,부동산 임대"
81,현대반도체,029890,,
82,현대하이스코,010520,1차 철강 제조업,"강관(탄소강관,스테인레스강관,이중보온관,메폴파이프), 차량경량화제품 제조"
83,화인자산관리,010460,기타 금융업,"기타금융업,기타투자업"
84,흥양,010030,,
85,GS,078930,기타 금융업,지주회사/부동산 임대
86,GS글로벌,001250,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대"
87,HDC현대산업개발,294870,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등"
88,HSD엔진,082740,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진"
89,LG이노텍,011070,전자부품 제조업,기타 전자부품 제조업
90,LG전자,066570,통신 및 방송 장비 제조업,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기"
91,LG헬로비전,037560,텔레비전 방송업,"케이블TV, 인터넷서비스 등"
92,LS산전,010120,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공"
93,OCI,010060,기초 화학물질 제조업,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매"
94,S&T모티브,064960,자동차 신품 부품 제조업,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매"
95,SK네트웍스,001740,기타 전문 도매업,"종합무역업(전자전기제품,섬유,에너지화학제품,철강금속제품),의류,수입산합판,MDF판매,정보통신사업,에너지유통사업"
96,SK이노베이션,096770,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업"
97,STX,011810,상품 종합 도매업,"에너지 원료(석탄,석유),산업기자재(기계부품) 도매"
98,WISCOM,024070,플라스틱제품 제조업,"플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공"
99,경동인베스트,012320,석탄 광업,지주회사
100,고려아연,010130,1차 비철금속 제조업,"연,아연괴 제조,판매"
101,광명전기,017040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,가스절연개폐장치,빌딩자동화시스템,중앙감시반,자동제어반 제조,도소매,무역"
102,국보,001140,도로 화물 운송업,"화물자동차운송,콘테이너운송,수출입화물보관,도로운송,CY보관,하역"
103,극동유화,014530,석유 정제품 제조업,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소"
104,남양유업,003920,낙농제품 및 식용빙과류 제조업,"시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매"
105,대림비앤코,005750,"내화, 비내화 요업제품 제조업","위생도기,내장타일,조립식욕실제품 제조,판매/부동산 임대"
106,대영포장,014160,"골판지, 종이 상자 및 종이용기 제조업","골판지원단,골판지상자 제조"
107,대원화성,024890,플라스틱제품 제조업,"합성피혁,벽지,DMF(폐용수)정제,방수투습원단,화공약 임가공,제조,도매,수출입"
108,대창,012800,1차 비철금속 제조업,"황동봉,동합금괴 제조,판매"
109,대한해운,005880,해상 운송업,"외항화물운송,국제해운대리점"
110,동아쏘시오홀딩스,000640,기타 금융업,"의약품(피로회복제/박카스,병원용의약품),비의약품(의료기기,염모제,가글제) 제조,도소매/화장품 생산"
111,동양,001520,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘/건설공사/산업용 송풍기
112,두산,000150,회사 본부 및 경영 컨설팅 서비스업,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등"
113,디와이,013570,기타 금융업,"자동차부품,유공압기기,소각로,자동세차기,하훼유통,발효기,모터 제조"
114,마니커,027740,"도축, 육류 가공 및 저장 처리업","닭고기,햄,계육가공제품,계육,육가공제품 제조,판매,유통/양계관련사업/부동산임대/수출입대행"
115,메리츠금융지주,138040,기타 금융업,투자사업
116,모두투어리츠,204210,부동산 임대 및 공급업,"호텔 부동산 취득, 관리, 개량 및 처분"
117,부국증권,001270,금융 지원 서비스업,"유가증권 매매,위탁매매,인수,주선"
118,삼성SDI,006400,일차전지 및 축전지 제조업,"칼라브라운관,PDP,평판표시관,모니터,휴대용 디스플레이,폴리머전지(2차전지),초박형브라운관,전계발광소자 제조,판매"
119,삼성바이오로직스,207940,기초 의약물질 및 생물학적 제제 제조업,바이오의약품
120,삼성출판사,068290,"서적, 잡지 및 기타 인쇄물 출판업","서적 출판,인쇄,소매/부동산 임대"
121,삼성화재해상보험,000810,보험업,"손해보험의 원수,재보험,운용자산의 투자활동"
122,삼영전자공업,005680,전자부품 제조업,"전자부품(알루미늄 전해콘덴서),전기이중층콘덴서,센서 제조,도매"
123,상상인증권,001290,금융 지원 서비스업,유가증권 매매
124,선진,136490,동물용 사료 및 조제식품 제조업,조제동물사료
125,성창기업지주,000180,회사 본부 및 경영 컨설팅 서비스업,"합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조"
126,세방전지,004490,일차전지 및 축전지 제조업,"자동차용 및 산업용 축전지(연축전지) 제조,판매"
127,세원셀론텍,091090,"구조용 금속제품, 탱크 및 증기발생기 제조업","화학플랜트 설비,기계 제작(음식료,석유화학사업관련)/유공압기기 판매"
128,신라교역,004970,어로 어업,"원양어업(참치,명태,휠레트,연육,명란,새우),어획물 판매/직물 수출"
129,신풍제약,019170,의약품 제조업,"의약품(항생제,혈전용해제,향정신성약품,구충제) 제조,판매"
130,신한알파리츠,293940,부동산 임대 및 공급업,비거주 부동산 임대 서비스업
131,신한지주,055550,기타 금융업,금융지주회사
132,에스원,012750,"경비, 경호 및 탐정업","부가통신 서비스(경비),안전관리용역,CCTV카메라"
133,영화금속,012280,자동차 신품 부품 제조업,"자동차부품,건축자재(관이음쇠) 제조,판매"
134,원림,005820,편조원단 제조업,"고무,플라스틱제품,산업용포장재,PP.BAG,타포린 제조,도매/부동산 임대/주택 신축,판매/인터넷 정보통신/벤처회사 투자"
135,윌비스,008600,생활용품 도매업,"스웨터,니트,셔츠 도매,제조/컴퓨터주변기기 무역,오파,임대"
136,유나이티드,033270,의약품 제조업,"홈타민 진생연질60C(비타민제),항암제,항생제,순환기계,해열진통제,소화기계약품 제조"
137,유니켐,011330,"가죽, 가방 및 유사제품 제조업","피혁 제조,도매,무역,부동산임대"
138,이구산업,025820,1차 비철금속 제조업,"동판.조,황동판.조,인청동판.조 제조,임가공/부동산 임대"
139,일동제약,249420,의약품 제조업,"아로나민, 후루마린, 큐란, 라비에트, 사미온 등"
140,일진다이아,081000,기타 화학제품 제조업,"공업용 합성다이아몬드 제조,도매,수출입"
141,제일약품,271980,의약품 제조업,의약품
142,제일연마,001560,기타 비금속 광물제품 제조업,"연마석,다이아몬드공구 제조,도소매/주택건설"
143,제일파마홀딩스,002620,회사 본부 및 경영 컨설팅 서비스업,"의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매"
144,제주항공,089590,항공 여객 운송업,"여객운송서비스, 화물운송서비스"
145,조흥,002600,기타 식품 제조업,"휘핑크림,인스턴트이스트,프루츠칵테일,크림치즈,견과류,건조과일 제조,판매/주택 신축,판매"
146,지역난방공사,071320,"증기, 냉·온수 및 공기조절 공급업","집단에너지공급 및 전기,증기 생산,판매"
147,지코,010580,자동차 신품 부품 제조업,"자동차부품(워터펌프,오일펌프,엔진헤드(GV6),프론트케이스) 제조"
148,진도,088790,기타 전문 도매업,"모피제품 제조,가공"
149,진양폴리우레탄,010640,플라스틱제품 제조업,"폴리우레탄,폴리우레탄스폰지 제조,판매"
150,컨버즈,109070,"골판지, 종이 상자 및 종이용기 제조업","크라프트지,박엽지"
151,코오롱인더,120110,화학섬유 제조업,"산업자재, 화학, 필름"
152,크라운제과,264900,기타 식품 제조업,"비스킷, 스낵, 당과"
153,크라운해태홀딩스,005740,기타 금융업,"비스켓,쵸코렛,사탕,웨이퍼 제조,도매"
154,태경산업,015890,기초 화학물질 제조업,"제강용 정련제(프락스),카바이드,중질탈산칼슘 제조,판매/고속도로휴게소 운영"
155,태광산업,003240,화학섬유 제조업,"석유화학제품(PTA,AN),화섬사,직물 등"
156,토니모리,214420,기타 화학제품 제조업,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등"
157,포스코케미칼,003670,"내화, 비내화 요업제품 제조업","내화물, 생석회, 음극재 및 양극재"
158,필룩스,033180,전자부품 제조업,"전자부품(페라이트코아,트랜스포머,데코램프) 제조/온라인정보 제공/부동산 임대"
159,한국공항,005430,기타 운송관련 서비스업,"항공기 지상조업,항공화물 상하역,장비대여,항공용역사업,항공기급유,항공화물 취급,보관,부정기헬기운송,여행알선,광업,먹는샘물 제조,농축산업"
160,한국제지,002300,"펄프, 종이 및 판지 제조업","인쇄용지,아트지,백상지 제조"
161,한국종합기술,023350,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,감리,측량/토목건축공사"
162,한국철강,104700,1차 철강 제조업,철근. 단조강. 파이프
163,한국패러랠,168490,신탁업 및 집합투자업,
164,한라홀딩스,060980,기타 금융업,지주회사 및 경영컨설팅 서비스업
165,한미약품,128940,의약품 제조업,의약품
166,한세실업,105630,봉제의복 제조업,의류 완제품
167,한솔로지스틱스,009180,기타 운송관련 서비스업,"지류펄프 보관창고 운영/화물취급,화물운송알선,물류컨설팅/종합쇼핑몰운영,통신판매,인터넷백화점"
168,한창제지,009460,"펄프, 종이 및 판지 제조업","마닐라판지,고급백판지(ALL PULP) 제조,판매,수출입"
169,한화갤러리아타임월드,027390,종합 소매업,"백화점,부동산임대,신용카드업,주차장"
170,한화생명,088350,보험업,생명보험
171,현대건설,000720,토목 건설업,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스"
172,현대건설기계,267270,일반 목적용 기계 제조업,"굴삭기, 지게차, 휠로더 등"
173,현대모비스,012330,자동차 신품 부품 제조업,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)"
174,현대차증권,001500,금융 지원 서비스업,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대"
175,현대홈쇼핑,057050,무점포 소매업,TV홈쇼핑 도소매/홈쇼핑프로그램 제작
176,호전실업,111110,봉제의복 제조업,스포츠웨어 및 아웃도어 웨어 OEM
177,호텔신라,008770,기타 상품 전문 소매업,"면세판매,관광숙박,외식사업,예식업"
178,효성,004800,기타 금융업,"스판덱스,합성원사,나일론,폴리에스터,타이어코드지,PET병,수지제품,중전기제품(변압기,차단기),사무용기계,컴퓨터 제조/건축공사"
179,효성중공업,298040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-
180,LG종금,008810,,
181,거북선4호,108890,,
182,경남에너지,008020,연료용 가스 제조 및 배관공급업,도시가스공급
183,경동산업,002940,,
184,경일화학공업,028580,,
185,국민은행_(합병전),023130,보험업,
186,금강피혁,013040,,
187,금성투자금융,028450,,
188,기린,006070,기타 식품 제조업,"빵,과자,빙과류 제조,도매"
189,기산,011470,,
190,남양소금,029060,,
191,대농,001110,,"면사,면직물,의류 제조,염색가공,판매,무역"
192,대성자원,004260,,
193,대우전자,007410,,"방송장비,가전제품,산업용전자제품 제조"
194,대우중공업,000200,,"건설중기,차량용,선박용,산업용 디젤엔진,철도차량,부품,자동창고,파렛타이저 제조"
195,대일화학공업,003110,,"파스류,밴드,반창고류,공업용,가정용 접착테이프 제조,도매"
196,대한모방,001350,,
197,대한알루미늄공업,009050,,"알루미늄합금,알루미늄괴,알루미늄판,알루미늄압연제품 제조,판매,원자재 수입"
198,대호,001980,,"건설업(토목,건축,전기,도로포장,주택건설),CATV 방송/부동산임대업"
199,동국중기공업,028410,,
200,동북아21호선박투자,088010,,운수장비 임대
201,동아금고,030710,재 보험업,
202,동양현대종금,008980,재 보험업,
203,동양화학공업,002740,,
204,동원증권,005890,,"수입수수료,금융수익,증권매매익"
205,럭키소재,034370,,
206,롯데미도파,004010,종합 소매업,"백화점,할인마트/부동산 임대,매매"
207,문화방송,028860,,"텔레비전 방송,라디오 방송,광고업"
208,박현주2성장,037480,재 보험업,
209,범양식품,008750,,"청량음료(콜라,환타,킨사이다,하이-C,암바사) 제조,도매"
210,범화건설,029080,,
211,부국제강,029170,,
212,삼보컴퓨터,014900,,"컴퓨터,프린터,주변기기 제조,도매"
213,삼삼종금,016500,,
214,삼성물산,000830,기타 전문 도매업,"무역(전자제품,중화학제품)/종합건설공사,주택건설공사"
215,삼신,011540,,
216,삼양엔텍,008720,특수 목적용 기계 제조업,"프레스 제지기계,산업기계,파워프레스,선철주물,롤 제조,판매"
217,새서울상사,028350,,
218,새한상사,028990,,
219,서광,003260,,"의류 제조,도매,수출입"
220,서진식품,028550,,
