,날짜,체결가,전일비,등락률,거래량(천주),거래대금(백만)
1,2020.03.27,1717.73,31.49,1.87%,1077526,12851932
2,2020.03.26,1686.24,18.52,-1.09%,992473,12374197
3,2020.03.25,1704.76,94.79,5.89%,872808,12612287
8,2020.03.24,1609.97,127.51,8.60%,679288,10481447
9,2020.03.23,1482.46,83.69,-5.34%,647528,9645271
10,2020.03.20,1566.15,108.51,7.44%,817021,10632970
14,2020.03.19,1457.64,133.56,-8.39%,977674,11932492
15,2020.03.18,1591.2,81.24,-4.86%,728007,9576387
16,2020.03.17,1672.44,42.42,-2.47%,649779,9709076
21,2020.03.16,1714.86,56.58,-3.19%,682003,8593833
22,2020.03.13,1771.44,62.89,-3.43%,1035277,13376937
23,2020.03.12,1834.33,73.94,-3.87%,850344,11309953
27,2020.03.11,1908.27,54.66,-2.78%,679716,8598096
28,2020.03.10,1962.93,8.16,0.42%,638564,9133693
29,2020.03.09,1954.77,85.45,-4.19%,666868,8796943
34,2020.03.06,2040.22,45.04,-2.16%,865588,7233537
35,2020.03.05,2085.26,25.93,1.26%,675205,7954349
36,2020.03.04,2059.33,45.18,2.24%,606287,7829192
40,2020.03.03,2014.15,11.64,0.58%,615692,8687846
41,2020.03.02,2002.51,15.5,0.78%,528103,7811002
42,2020.02.28,1987.01,67.88,-3.30%,671551,9927960
47,2020.02.27,2054.89,21.88,-1.05%,562775,7241174
48,2020.02.26,2076.77,26.84,-1.28%,810937,8060327
49,2020.02.25,2103.61,24.57,1.18%,1565588,8952278
53,2020.02.24,2079.04,83.8,-3.87%,948620,9315474
54,2020.02.21,2162.84,32.66,-1.49%,635474,7105856
55,2020.02.20,2195.5,14.84,-0.67%,709563,7677672
60,2020.02.19,2210.34,1.46,0.07%,591155,7107033
61,2020.02.18,2208.88,33.29,-1.48%,470424,6411451
62,2020.02.17,2242.17,1.42,-0.06%,458247,5639200
66,2020.02.14,2243.59,10.63,0.48%,597224,6379565
67,2020.02.13,2232.96,5.42,-0.24%,638666,8121197
68,2020.02.12,2238.38,15.26,0.69%,632462,6892197
73,2020.02.11,2223.12,22.05,1.00%,526211,6611195
74,2020.02.10,2201.07,10.88,-0.49%,609566,5471061
75,2020.02.07,2211.95,15.99,-0.72%,800342,8813174
79,2020.02.06,2227.94,62.31,2.88%,695216,8334737
80,2020.02.05,2165.63,7.73,0.36%,574395,7736275
81,2020.02.04,2157.9,39.02,1.84%,624641,7791178
86,2020.02.03,2118.88,0.13,-0.01%,836699,8068704
87,2020.01.31,2119.01,28.99,-1.35%,710507,7226687
88,2020.01.30,2148,37.28,-1.71%,602838,7105203
92,2020.01.29,2185.28,8.56,0.39%,692300,6589949
93,2020.01.28,2176.72,69.41,-3.09%,808878,8818232
